taxon   max_age min_age
Aardonyx    201.3   190.8
Abrictosaurus   201.3   190.8
Agilisaurus 170.3   168.3
Antetonitrus    201.3   190.8
Asilisaurus 242 235
Chindesaurus    213 210
Coelophysis 207 202
Coloradisaurus  215 212
Dilophosaurus   186.4   181
Diodorus    237 208.5
Dracoraptor 201.5   201.1
Dracovenator    201.3   190.8
Dromomeron_gigas    215 201
Dromomeron_gregorii 225 215
Dromomeron_romerii  212 208
Efraasia    216 211
Emausaurus  182.7   179
Eocursor    201.3   190.8
Eodromaeus  231.4   228
Eoraptor    231.4   228
Eucoelophysis   212.5 211.5
Euparkeria  247    235
Fruitadens  150.3   150.2
Gongxianosaurus 182.7   174.1
Guaibasaurus    225.5   224.5
Herrerasaurus   231.4   228
Heterodontosaurus   201.3   190.8
Hexinlusaurus   170.3   163.5
Ignotosaurus    231.4   228
Jeholosaurus    129.7   122.1
Lagerpeton  236.1   233.7
Laquintasaura   201.4   200.4
Lesothosaurus   201.3   190.8
Lewisuchus   236.1   233.7
Leyesaurus  201.3   174.1
Liliensternus   216 204
Lophostropheus  201 199
Lufengosaurus   197 190
Lutungutali 242 235
Manidens    178.8   174.1
Massospondylus_carinatus    201.3   190.8
Massospondylus_kaalae   201.3   190.8
Pampadromaeus   227.94  227.24
Panguraptor 197 190
Panphagia   231.4   228
Pantydraco  208.5   201.3
Pisanosaurus    231.4   228
Plateosaurus    211 205
Postosuchus 220 215
Procompsognathus    216 209
Pulanesaura 201.3   190.8
Riojasaurus 215 212
Sacisaurus  225.5   224.5
Sanjuansaurus   231.4   228
Sarcosaurus 200 195
Saturnalia  233.23  228
Scelidosaurus   194 190.8
Silesaurus  230 227
Sinosaurus  197 190
Staurikosaurus  233.23  228
Syntarsus_kayentakatae 186.4   181
Tawa    212.5   211.5
Tazoudasaurus   182.7   181
Thecodontosaurus    208.5   201.3
Tianyulong  165 152
Unaysaurus  225.5   224.5
Vulcanodon  201 185
Yunnanosaurus   197 190
Zupaysaurus 215 212
Buriolestes 233.23  228
Ixalerpeton 233.23  228
Daemonosaurus   207 202
Ceratosaurus    152.67    151.69
Elaphrosaurus   157.3   152.1
Eoabelisaurus   174.1   168.3
Piatnitzkysaurus    166.1   163.5
Allosaurus    152.67    151.69
Bagualosaurus   227.94  227.24
Mbiresaurus 231.4   228
Scutellosaurus  186.4   181
