Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	0	-13090.96	-12664.62	-426.341	853420.4	1.630109	0.998624	0.999648	1.00035	1.00138	103.0429
1	1	-11965.81	-11747.44	-218.3637	448817.4	5.720146	0.998103	0.999515	1.00048	1.0019	28.19626
2	0	-10741.03	-10409.11	-331.9159	277831.3	2.098779	0.99759	0.999383	1.00061	1.00241	54.38327
3	1	-9534.726	-9360.641	-174.0853	694820.5	6.42884	0.998475	0.99961	1.00039	1.00153	21.10355
4	0	-9361.623	-9127.712	-233.9109	147463.1	3.655642	0.996692	0.999153	1.00084	1.00331	28.76744
5	1	-8441.679	-8309.036	-132.6436	763951	8.381334	0.998546	0.999628	1.00037	1.00145	16.29078
6	0	-8518.122	-8373.461	-144.6608	114100.1	8.193342	0.996239	0.999036	1.00096	1.00377	17.69009
7	1	-7997.513	-7896.954	-100.5588	497035.9	10.65977	0.998198	0.999539	1.00046	1.0018	13.38806
8	0	-8010.052	-7910.152	-99.90032	344774	12.61948	0.997836	0.999446	1.00055	1.00217	13.37887
9	1	-7876.496	-7780.371	-96.12479	849764.7	12.02586	0.998621	0.999647	1.00035	1.00138	13.09014
10	0	-7720.821	-7653.744	-67.07695	940031.8	15.78095	0.998689	0.999665	1.00033	1.00131	10.85943
11	1	-7804.835	-7712.795	-92.04011	590610	14.21968	0.998346	0.999577	1.00042	1.00165	12.64973
12	0	-7568.715	-7505.415	-63.29943	913068.6	16.14506	0.99867	0.99966	1.00034	1.00133	10.60351
13	1	-7625.934	-7550.327	-75.60707	299437.9	11.80536	0.997678	0.999406	1.00059	1.00232	11.34799
14	0	-7481.889	-7433.93	-47.9588	758083.4	13.58153	0.99854	0.999627	1.00037	1.00146	9.463508
15	1	-7553.563	-7489.924	-63.63983	995234.6	14.91836	0.998726	0.999674	1.00033	1.00127	10.66187
16	0	-7442.694	-7394.359	-48.33492	935347	15.62489	0.998686	0.999664	1.00034	1.00131	9.667987
17	1	-7572.549	-7503.995	-68.55437	884161.5	14.59219	0.998649	0.999654	1.00034	1.00135	10.99754
18	0	-7422.605	-7379.283	-43.32164	442887.5	18.23495	0.998091	0.999512	1.00049	1.00191	9.344495
19	1	-7527.476	-7464.667	-62.8084	398223.6	14.52673	0.997986	0.999485	1.00051	1.00201	10.60263
20	0	-7442.783	-7401.442	-41.34055	174431.3	17.69948	0.996958	0.999221	1.00078	1.00305	9.250205
21	1	-7509.858	-7451.215	-58.64273	531058.5	15.46731	0.998256	0.999554	1.00044	1.00174	10.32944
22	0	-7430.824	-7389.535	-41.28818	221419.5	18.10691	0.9973	0.999309	1.00069	1.0027	9.23703
23	1	-7482.228	-7429.309	-52.9193	290623.9	18.44909	0.997643	0.999397	1.0006	1.00236	9.855819
24	0	-7423.167	-7376.825	-46.34202	142300.7	16.72827	0.996632	0.999137	1.00086	1.00337	9.554693
25	1	-7458.153	-7418.128	-40.02444	277395.2	18.23385	0.997588	0.999383	1.00062	1.00241	9.16371
26	0	-7421.52	-7381.716	-39.80417	46794.84	15.85052	0.99413	0.998493	1.00149	1.00588	9.134945
27	1	-7460.992	-7411.93	-49.06174	827136.1	14.19111	0.998603	0.999643	1.00036	1.0014	9.62424
28	0	-7430.239	-7387.1	-43.13953	34440.11	16.22592	0.993159	0.998242	1.00174	1.00686	9.356791
29	1	-7446.473	-7400.856	-45.61638	554782.9	16.89501	0.998294	0.999564	1.00044	1.00171	9.509987
30	0	-7408.459	-7370.225	-38.23313	34776.95	19.82156	0.993192	0.998251	1.00173	1.00682	9.001452
31	1	-7400.392	-7365.437	-34.95453	681508	17.12597	0.998461	0.999606	1.00039	1.00154	8.884127
32	0	-7409.557	-7374.849	-34.70741	15229.61	18.50068	0.989719	0.99735	1.00261	1.01032	8.867689
33	1	-7401.578	-7366.298	-35.28021	153550.5	16.65648	0.996758	0.99917	1.00083	1.00325	8.89105
34	0	-7397.431	-7363.15	-34.28077	3648.225	18.87477	0.979034	0.994547	1.0053	1.02112	8.836125
35	1	-7369.784	-7343.025	-26.7583	134763.1	18.65385	0.99654	0.999113	1.00088	1.00346	8.438258
36	0	-7428.209	-7385.093	-43.11597	24859.3	19.04274	0.99195	0.997929	1.00205	1.00807	9.295293
37	1	-7376.468	-7343.331	-33.137	527490.9	18.07116	0.99825	0.999552	1.00045	1.00175	8.787031
38	0	-7424.047	-7383.799	-40.24724	32164.97	22.9558	0.992921	0.998181	1.0018	1.0071	8.862464
39	1	-7369.251	-7336.855	-32.39581	737562	18.16361	0.99852	0.999622	1.00038	1.00148	8.745714
40	0	-7416.061	-7372.824	-43.23717	35494.99	17.95549	0.993261	0.998269	1.00172	1.00675	9.34986
41	1	-7393.78	-7353.776	-40.00399	411911.3	20.58686	0.99802	0.999493	1.00051	1.00198	9.041678
42	0	-7415.026	-7377.891	-37.13511	354181.2	18.98021	0.997865	0.999454	1.00054	1.00214	8.983565
43	1	-7376.815	-7350.749	-26.066	911379.1	20.44725	0.998669	0.99966	1.00034	1.00133	8.369543
44	0	-7405.325	-7376.163	-29.16162	955323.2	21.25737	0.9987	0.999668	1.00033	1.0013	8.482866
45	1	-7416.548	-7367.846	-48.70235	331944.1	19.81231	0.997795	0.999436	1.00056	1.00221	9.530375
46	0	-7399.992	-7362.575	-37.41693	521435	19.29718	0.99824	0.99955	1.00045	1.00176	8.985504
47	1	-7397.348	-7365.045	-32.30274	66977.88	19.58929	0.995093	0.998741	1.00125	1.00492	8.71094
48	0	-7413.933	-7382.997	-30.93552	716916.3	17.3318	0.998499	0.999616	1.00038	1.0015	8.655337
49	1	-7383.869	-7350.615	-33.25387	396631.9	18.27235	0.997982	0.999484	1.00051	1.00202	8.792028
50	0	-7393.097	-7364.948	-28.14805	408061.4	17.22387	0.998011	0.999491	1.00051	1.00199	8.490599
51	1	-7377.39	-7353.134	-24.25546	971612.3	17.98576	0.998711	0.99967	1.00033	1.00129	8.293491
52	0	-7396.474	-7355.901	-40.57264	882212.6	21.13064	0.998647	0.999654	1.00035	1.00135	9.029404
53	1	-7388.583	-7353.384	-35.19852	276504.5	15.36957	0.997584	0.999382	1.00062	1.00242	8.804626
54	0	-7379.58	-7351.512	-28.06818	647055.6	16.21003	0.99842	0.999596	1.0004	1.00158	8.426674
55	1	-7394.768	-7361.932	-32.83601	496751.3	17.25236	0.998197	0.999539	1.00046	1.0018	8.763399
56	0	-7385.937	-7359.068	-26.86919	21573.61	21.98757	0.991359	0.997776	1.0022	1.00867	8.337552
57	1	-7403.702	-7366.379	-37.32258	399725.4	16.55615	0.99799	0.999486	1.00051	1.00201	9.01075
58	0	-7401.731	-7375.562	-26.16932	49448.5	18.98922	0.99429	0.998534	1.00145	1.00572	8.405757
59	1	-7376.239	-7347.406	-28.83297	414140	19.7344	0.998026	0.999495	1.0005	1.00198	8.529805
60	0	-7384.028	-7348.637	-35.39089	67015.23	16.86374	0.995094	0.998742	1.00125	1.00491	8.903946
61	1	-7397.885	-7349.215	-48.66987	771746.9	16.17128	0.998553	0.99963	1.00037	1.00145	9.697485
62	0	-7397.38	-7365.165	-32.21578	14803.5	17.57585	0.989572	0.997312	1.00265	1.01047	8.733305
63	1	-7386.571	-7342.214	-44.35642	169318.3	14.47093	0.996913	0.999209	1.00079	1.00309	9.326357
64	0	-7379.951	-7352.382	-27.56913	126088.6	22.59186	0.996423	0.999083	1.00091	1.00358	8.333386
65	1	-7382.517	-7345.1	-37.41719	902138.7	16.26747	0.998662	0.999658	1.00034	1.00134	9.005927
66	0	-7399.2	-7363.67	-35.5296	36582.9	17.58005	0.993362	0.998295	1.00169	1.00665	8.921858
67	1	-7381.839	-7353.343	-28.49602	927350.7	17.01533	0.99868	0.999663	1.00034	1.00132	8.502298
68	0	-7369.908	-7339.708	-30.19998	207621.9	17.55492	0.997212	0.999286	1.00071	1.00279	8.6182
69	1	-7395.607	-7362.664	-32.94252	892174.4	19.21092	0.998655	0.999656	1.00034	1.00135	8.756292
70	0	-7380.542	-7347.311	-33.23082	473912.4	17.66154	0.998154	0.999528	1.00047	1.00185	8.79177
71	1	-7396.52	-7362.392	-34.12804	547135.1	19.24073	0.998282	0.999561	1.00044	1.00172	8.817005
72	0	-7368.433	-7338.195	-30.23762	886203.9	15.84609	0.99865	0.999655	1.00034	1.00135	8.530999
73	1	-7376.56	-7341.6	-34.96015	965638.4	18.76482	0.998707	0.999669	1.00033	1.00129	8.875149
74	0	-7402.114	-7366.717	-35.39622	613207.7	18.69757	0.998377	0.999585	1.00041	1.00162	8.900198
75	1	-7385.617	-7349.96	-35.65694	68130.06	16.42658	0.995134	0.998752	1.00124	1.00487	8.904997
76	0	-7393.764	-7357.653	-36.1118	855132.2	18.31389	0.998626	0.999649	1.00035	1.00137	8.947648
77	1	-7399.356	-7367.192	-32.16395	438685.8	18.11566	0.998082	0.999509	1.00049	1.00192	8.7331
78	0	-7373.182	-7341.154	-32.02754	496873.1	17.56414	0.998197	0.999539	1.00046	1.0018	8.722435
79	1	-7366.746	-7340.517	-26.22903	919848.6	18.14051	0.998675	0.999661	1.00034	1.00133	8.405865
80	0	-7397.191	-7358.268	-38.92225	795784.6	18.55237	0.998575	0.999636	1.00036	1.00143	9.093823
81	1	-7378.49	-7342.704	-35.78547	353986.9	18.33149	0.997864	0.999454	1.00054	1.00214	8.9295
82	0	-7391.592	-7357.597	-33.99468	591612.2	16.71922	0.998348	0.999577	1.00042	1.00165	8.81625
83	1	-7401.786	-7360.966	-40.81919	475551.9	14.9049	0.998157	0.999529	1.00047	1.00184	9.130843
84	0	-7389.568	-7355.899	-33.66863	644191.5	19.12676	0.998417	0.999595	1.0004	1.00158	8.796707
85	1	-7380.089	-7339.337	-40.75163	457901.7	20.44945	0.998122	0.99952	1.00048	1.00188	9.087611
86	0	-7412.775	-7373.507	-39.2674	84083.87	16.82912	0.99562	0.998877	1.00112	1.00439	9.133359
87	1	-7376.397	-7347.109	-29.28723	772619.2	16.48068	0.998554	0.99963	1.00037	1.00145	8.520734
