Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-11965.81	-11747.44	-218.3637	448817.4	5.720146	0.998103	0.999515	1.00048	1.0019	28.19626
10	-9534.726	-9360.641	-174.0853	694820.5	6.42884	0.998475	0.99961	1.00039	1.00153	21.10355
20	-8441.679	-8309.036	-132.6436	763951	8.381334	0.998546	0.999628	1.00037	1.00145	16.29078
30	-7997.513	-7896.954	-100.5588	497035.9	10.65977	0.998198	0.999539	1.00046	1.0018	13.38806
40	-7876.496	-7780.371	-96.12479	849764.7	12.02586	0.998621	0.999647	1.00035	1.00138	13.09014
50	-7804.835	-7712.795	-92.04011	590610	14.21968	0.998346	0.999577	1.00042	1.00165	12.64973
60	-7625.934	-7550.327	-75.60707	299437.9	11.80536	0.997678	0.999406	1.00059	1.00232	11.34799
70	-7553.563	-7489.924	-63.63983	995234.6	14.91836	0.998726	0.999674	1.00033	1.00127	10.66187
80	-7572.549	-7503.995	-68.55437	884161.5	14.59219	0.998649	0.999654	1.00034	1.00135	10.99754
90	-7527.476	-7464.667	-62.8084	398223.6	14.52673	0.997986	0.999485	1.00051	1.00201	10.60263
100	-7509.858	-7451.215	-58.64273	531058.5	15.46731	0.998256	0.999554	1.00044	1.00174	10.32944
110	-7482.228	-7429.309	-52.9193	290623.9	18.44909	0.997643	0.999397	1.0006	1.00236	9.855819
120	-7458.153	-7418.128	-40.02444	277395.2	18.23385	0.997588	0.999383	1.00062	1.00241	9.16371
130	-7460.992	-7411.93	-49.06174	827136.1	14.19111	0.998603	0.999643	1.00036	1.0014	9.62424
140	-7446.473	-7400.856	-45.61638	554782.9	16.89501	0.998294	0.999564	1.00044	1.00171	9.509987
150	-7400.392	-7365.437	-34.95453	681508	17.12597	0.998461	0.999606	1.00039	1.00154	8.884127
160	-7401.578	-7366.298	-35.28021	153550.5	16.65648	0.996758	0.99917	1.00083	1.00325	8.89105
170	-7369.784	-7343.025	-26.7583	134763.1	18.65385	0.99654	0.999113	1.00088	1.00346	8.438258
180	-7376.468	-7343.331	-33.137	527490.9	18.07116	0.99825	0.999552	1.00045	1.00175	8.787031
190	-7369.251	-7336.855	-32.39581	737562	18.16361	0.99852	0.999622	1.00038	1.00148	8.745714
200	-7393.78	-7353.776	-40.00399	411911.3	20.58686	0.99802	0.999493	1.00051	1.00198	9.041678
210	-7376.815	-7350.749	-26.066	911379.1	20.44725	0.998669	0.99966	1.00034	1.00133	8.369543
